System,SCF Energy,S1,S2,S3,T1,T2,T3,Function
CSH_CNHH_CH_CNOO_CNHH_CSH,-1343.702596,2.4,3.38,3.91,1.58,2.75,2.8,-0.76
CSH_CNHH_CH_CCN_CNHH_CSH,-1231.458912,2.33,3.95,4.4,1.52,2.48,4.04,-0.7
CSH_CNHH_CH_CCFFF_CNHH_CSH,-1476.26667,2.5,4.09,4.64,1.64,2.59,4.15,-0.78
CSH_CNHH_CH_CCl_CNHH_CSH,-1598.8194,2.9,4.28,4.54,1.97,2.78,4.47,-1.04
CSH_CNHH_CH_CF_CNHH_CSH,-1238.461866,2.89,4.4,4.55,1.95,2.97,4.38,-1.01
CSH_CNHH_CH_CBFF_CNHH_CSH,-1363.321432,3.37,4.31,4.76,2.39,2.84,4.52,-1.41
CSH_CNHH_CH_CBHH_CNHH_CSH,-1164.692888,3.52,4.35,4.61,2.56,2.94,4.51,-1.6
CSH_CNHH_CH_CH_CNHH_CSH,-1139.225317,2.99,4.34,4.45,2.03,2.81,4.42,-1.07
CSH_CNHH_CH_CSiHHH_CNHH_CSH,-1429.896568,2.7,4.07,4.44,1.81,2.64,4.25,-0.93
CSH_CNHH_CH_CCHHH_CNHH_CSH,-1178.528225,2.96,4.3,4.33,2.02,2.81,4.3,-1.08
CSH_CNHH_CH_CSH_CNHH_CSH,-1537.403759,2.52,4.02,4.19,1.67,2.67,4.14,-0.82
CSH_CNHH_CH_COCHHH_CNHH_CSH,-1253.730293,2.68,4.18,4.42,1.8,2.86,4.17,-0.91
CSH_CNHH_CH_COH_CNHH_CSH,-1214.464933,3.75,4.33,4.72,2.74,2.96,4.61,-1.74
CSH_CNHH_CH_CNHH_CNHH_CSH,-1194.576393,2.9,3.78,4.25,1.96,2.81,3.76,-1.02
CSH_CNHH_CH_CNMeMe_CNHH_CSH,-1273.168325,2.61,3.69,3.97,1.94,2.56,3.67,-1.27
CNOO_COH_CNMeMe_CNHH_CH_CNHH,-756.519859,1.99,3.17,3.88,0.96,1.97,2.97,0.07
CCN_COH_CNMeMe_CNHH_CH_CNHH,-644.264915,2.7,3.96,4.36,1.77,2.37,4.35,-0.85
CCFFF_COH_CNMeMe_CNHH_CH_CNHH,-889.072054,3.03,4.17,4.42,2.03,2.49,4.42,-1.04
CCl_COH_CNMeMe_CNHH_CH_CNHH,-1011.626373,3.27,4.29,4.38,2.26,2.72,4.3,-1.25
CF_COH_CNMeMe_CNHH_CH_CNHH,-651.272001,3.53,4.18,4.59,2.44,2.93,4.19,-1.35
CBFF_COH_CNMeMe_CNHH_CH_CNHH,-776.10163,3.94,4.26,4.37,2.45,3.05,4.3,-0.95
